,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
78,1572259260,9393.52,9397.93,9383.65,9383.77,30.71,288316.2,force_direct,
79,1572259320,9395.38,9398.93,9383.28,9393.52,46.33,435093.36,force_direct,
80,1572259380,9406.89,9409.83,9395.38,9395.38,50.88,478325.95,force_direct,
81,1572259440,9416.94,9426.64,9406.53,9406.89,90.46,851790.63,force_direct,
82,1572259500,9427.03,9430.0,9416.94,9416.94,44.15,416062.69,force_direct,
83,1572259560,9442.37,9449.98,9427.03,9427.03,89.62,845908.99,force_direct,
84,1572259620,9430.2,9446.36,9428.05,9442.37,40.21,379541.64,force_direct,
85,1572259680,9445.08,9448.46,9430.2,9430.2,43.28,408576.89,force_direct,
86,1572259740,9461.18,9462.49,9445.08,9445.08,75.67,715455.6,force_direct,
87,1572259800,9453.32,9468.75,9442.08,9461.18,113.53,1073855.52,force_direct,
88,1572259860,9447.89,9457.61,9443.03,9453.32,44.2,417677.23,force_direct,
89,1572259920,9458.67,9466.15,9446.37,9447.89,91.42,864257.85,force_direct,
90,1572259980,9452.4,9462.85,9450.0,9458.67,39.26,371213.96,force_direct,
91,1572260040,9452.2,9466.93,9450.24,9452.4,50.55,478013.88,force_direct,
92,1572260100,9437.16,9454.0,9436.33,9452.2,59.85,565356.12,force_direct,
93,1572260160,9421.14,9442.27,9421.14,9437.16,28.58,269638.41,force_direct,
94,1572260220,9413.09,9425.24,9410.24,9421.14,44.26,416822.98,force_direct,
95,1572260280,9424.93,9425.61,9407.68,9413.09,76.89,724047.04,force_direct,
96,1572260340,9412.0,9428.54,9410.37,9424.93,32.18,303053.95,force_direct,
97,1572260400,9430.64,9434.46,9409.16,9412.0,54.5,513426.95,force_direct,
98,1572260460,9433.19,9440.62,9422.0,9430.64,62.21,586830.97,force_direct,
99,1572260520,9425.95,9439.87,9423.6,9433.19,42.71,402702.23,force_direct,
100,1572260580,9422.45,9432.29,9421.01,9425.95,19.24,181318.71,force_direct,
101,1572260640,9423.46,9427.46,9419.2,9422.45,12.22,115155.63,force_direct,
102,1572260700,9432.31,9434.86,9420.72,9423.46,29.54,278475.96,force_direct,
103,1572260760,9420.36,9438.98,9420.0,9432.31,22.22,209481.64,force_direct,
104,1572260820,9405.53,9422.14,9400.22,9420.36,84.6,796212.69,force_direct,
105,1572260880,9380.35,9406.0,9378.0,9405.53,83.14,780699.69,force_direct,
106,1572260940,9388.82,9392.34,9375.0,9380.35,33.42,313475.15,force_direct,
107,1572261000,9371.42,9390.57,9370.29,9388.82,46.84,439372.21,force_direct,
108,1572261060,9355.58,9376.96,9339.77,9371.42,149.61,1399381.3,force_direct,
109,1572261120,9360.0,9369.78,9347.59,9355.58,44.66,417939.66,force_direct,
110,1572261180,9370.0,9376.02,9358.56,9360.0,41.07,384821.61,force_direct,
111,1572261240,9371.61,9377.0,9360.99,9370.0,37.93,355375.77,force_direct,
112,1572261300,9379.43,9380.05,9370.0,9371.61,29.87,280059.19,force_direct,
113,1572261360,9359.09,9381.91,9354.78,9379.43,33.82,316877.24,force_direct,
114,1572261420,9356.73,9363.8,9349.05,9359.09,26.37,246710.55,force_direct,
115,1572261480,9359.83,9369.78,9350.6,9356.73,27.04,253151.94,force_direct,
116,1572261540,9361.07,9369.64,9355.4,9359.83,39.42,369054.38,force_direct,
117,1572261600,9355.07,9361.94,9347.6,9361.07,24.64,230515.02,force_direct,
118,1572261660,9365.47,9369.78,9348.42,9355.07,20.85,195088.42,force_direct,
119,1572261720,9373.41,9378.99,9365.44,9365.47,25.6,239852.55,force_direct,
120,1572261780,9368.62,9378.58,9365.26,9373.41,19.05,178571.76,force_direct,
121,1572261840,9366.31,9368.62,9360.17,9368.62,28.88,270404.3,force_direct,
122,1572261900,9377.57,9380.0,9365.03,9366.31,26.0,243665.9,force_direct,
123,1572261960,9383.1,9386.0,9375.37,9377.57,26.05,244386.59,force_direct,
124,1572262020,9386.68,9389.96,9380.0,9383.1,26.89,252368.07,force_direct,
125,1572262080,9380.0,9389.69,9377.85,9386.68,32.95,309251.16,force_direct,
126,1572262140,9384.29,9387.64,9376.2,9380.0,30.63,287359.85,force_direct,
127,1572262200,9374.22,9387.7,9365.81,9384.29,28.38,266114.28,force_direct,
128,1572262260,9360.0,9374.22,9356.91,9374.22,46.53,435649.83,force_direct,
129,1572262320,9374.36,9377.63,9359.22,9360.0,23.41,219431.06,force_direct,
130,1572262380,9371.0,9376.4,9371.0,9374.36,21.55,201999.79,force_direct,
131,1572262440,9366.5,9372.24,9361.1,9371.0,17.44,163311.89,force_direct,
132,1572262500,9362.82,9372.09,9361.74,9366.5,15.73,147330.12,force_direct,
133,1572262560,9366.75,9374.9,9361.34,9362.82,20.3,190127.74,force_direct,
134,1572262620,9379.57,9382.92,9366.05,9366.75,37.67,353178.87,force_direct,
135,1572262680,9381.34,9386.26,9377.66,9379.57,13.47,126363.83,force_direct,
136,1572262740,9385.46,9386.26,9380.73,9381.34,15.33,143836.1,force_direct,
137,1572262800,9394.11,9399.69,9385.46,9385.46,29.81,279965.42,force_direct,
138,1572262860,9400.81,9402.26,9391.1,9394.11,43.99,413351.05,force_direct,
139,1572262920,9399.02,9406.71,9396.25,9400.81,66.04,620922.03,force_direct,
140,1572262980,9407.31,9410.0,9398.0,9399.02,14.64,137638.57,force_direct,
141,1572263040,9418.0,9423.91,9407.31,9407.31,52.38,493118.94,force_direct,
142,1572263100,9396.34,9420.84,9396.34,9418.0,36.75,345814.89,force_direct,
143,1572263160,9402.9,9416.43,9396.34,9396.34,35.99,338508.48,force_direct,
144,1572263220,9398.62,9407.11,9392.21,9402.9,58.96,554275.95,force_direct,
145,1572263280,9400.98,9402.85,9396.34,9398.62,11.83,111156.83,force_direct,
146,1572263340,9401.85,9404.9,9400.02,9400.98,11.06,103970.75,force_direct,
147,1572263400,9386.96,9401.99,9386.95,9401.85,35.92,337389.55,force_direct,
148,1572263460,9381.33,9390.0,9375.44,9386.96,35.31,331227.66,force_direct,
149,1572263520,9380.88,9388.96,9373.84,9381.33,37.08,347841.02,force_direct,
150,1572263580,9382.42,9388.51,9378.7,9380.88,22.75,213518.12,force_direct,
151,1572263640,9390.7,9392.01,9382.42,9382.42,11.14,104616.68,force_direct,
152,1572263700,9394.19,9395.83,9388.17,9390.7,10.11,94964.2,force_direct,
153,1572263760,9403.96,9405.72,9391.63,9394.19,38.33,360213.21,force_direct,
154,1572263820,9399.94,9405.22,9394.64,9403.96,20.42,191916.98,force_direct,
155,1572263880,9404.01,9405.75,9398.71,9399.94,25.88,243318.04,force_direct,
156,1572263940,9407.91,9409.28,9401.81,9404.01,15.74,148017.56,force_direct,
157,1572264000,9400.0,9410.0,9400.0,9407.91,35.2,331053.99,force_direct,
158,1572264060,9391.98,9401.22,9391.49,9400.0,23.97,225201.72,force_direct,
159,1572264120,9382.85,9391.98,9381.09,9391.98,22.7,213090.45,force_direct,
160,1572264180,9374.92,9391.41,9373.84,9382.85,46.6,437118.4,force_direct,
161,1572264240,9375.77,9379.14,9370.37,9374.92,38.99,365471.94,force_direct,
162,1572264300,9364.28,9377.05,9360.0,9375.77,29.99,280913.97,force_direct,
163,1572264360,9359.35,9366.73,9351.51,9364.28,35.43,331579.67,force_direct,
